Date,1 oz_Selling,1 oz_Buying,1/2 oz_Selling,1/2 oz_Buying,1/4 oz_Selling,1/4 oz_Buying
03.01.18,5632,5415,2869,2708,1461,1354
04.01.18,5579,5362,2842,2681,1447,1341
05.01.18,5608,5391,2857,2696,1455,1348
08.01.18,5585,5371,2845,2685,1449,1343
09.01.18,5592,5377,2849,2688,1451,1344
10.01.18,5577,5359,2841,2680,1447,1340
11.01.18,5599,5381,2853,2691,1453,1345
12.01.18,5584,5369,2844,2684,1449,1342
15.01.18,5622,5403,2864,2701,1458,1351
16.01.18,5627,5409,2867,2705,1460,1352
17.01.18,5614,5395,2860,2698,1456,1349
18.01.18,5582,5366,2844,2683,1448,1342
19.01.18,5557,5340,2831,2670,1442,1335
22.01.18,5570,5353,2838,2677,1445,1338
23.01.18,5563,5345,2834,2673,1443,1336
24.01.18,5574,5360,2840,2680,1446,1340
25.01.18,5614,5398,2860,2699,1456,1349
26.01.18,5563,5349,2834,2675,1443,1337
30.01.18,5528,5313,2816,2656,1434,1328
01.02.18,5568,5351,2836,2675,1444,1338
02.02.18,5557,5340,2831,2670,1442,1335
05.02.18,5513,5299,2808,2650,1430,1325
06.02.18,5553,5339,2829,2670,1441,1335
07.02.18,5497,5284,2800,2642,1426,1321
08.02.18,5476,5264,2790,2632,1421,1316
09.02.18,5516,5301,2810,2650,1431,1325
12.02.18,5495,5281,2799,2640,1426,1320
13.02.18,5520,5306,2812,2653,1432,1327
14.02.18,5565,5349,2835,2674,1444,1337
15.02.18,5590,5375,2848,2687,1450,1344
19.02.18,5574,5357,2840,2678,1446,1339
20.02.18,5561,5347,2833,2673,1443,1337
21.02.18,5510,5298,2807,2649,1429,1324
22.02.18,5503,5292,2804,2646,1428,1323
23.02.18,5513,5301,2809,2651,1430,1325
26.02.18,5515,5300,2810,2650,1431,1325
27.02.18,5514,5302,2809,2651,1431,1325
28.02.18,5480,5269,2792,2635,1422,1317
01.03.18,5486,5274,2795,2637,1423,1318
02.03.18,5478,5265,2791,2632,1421,1316
05.03.18,5478,5264,2791,2632,1421,1316
06.03.18,5467,5254,2785,2627,1418,1314
07.03.18,5532,5317,2818,2658,1435,1329
08.03.18,5486,5272,2795,2636,1423,1318
09.03.18,5481,5267,2792,2633,1422,1317
12.03.18,5477,5263,2790,2632,1421,1316
13.03.18,5483,5268,2793,2634,1423,1317
14.03.18,5473,5260,2788,2630,1420,1315
15.03.18,5483,5271,2793,2636,1423,1318
16.03.18,5482,5270,2793,2635,1422,1318
19.03.18,5449,5237,2776,2619,1414,1309
20.03.18,5468,5253,2785,2627,1418,1313
21.03.18,5454,5241,2778,2621,1415,1310
22.03.18,5519,5304,2811,2652,1432,1326
23.03.18,5535,5315,2820,2658,1436,1329
26.03.18,5603,5384,2855,2692,1454,1346
27.03.18,5574,5359,2839,2680,1446,1340
28.03.18,5522,5308,2813,2654,1433,1327
29.03.18,5440,5222,2771,2611,1411,1306
30.03.18,5440,5229,2771,2614,1411,1307
02.04.18,5431,5219,2767,2610,1409,1305
03.04.18,5503,5285,2804,2642,1428,1321
